recipe_name,ingredients,ingredients_parsed
Adobo,"pork, chicken, garlic, onion, soy sauce, vinegar, laurel leaves, salt, pepper","['p', 'o', 'r', 'k', 'c', 'h', 'i', 'c', 'k', 'e', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 'o', 'n', 'i', 'o', 'n', 's', 'o', 'y', 's', 'a', 'u', 'c', 'e', 'v', 'i', 'n', 'e', 'g', 'a', 'r', 'l', 'a', 'u', 'r', 'e', 'l', 'l', 'e', 'a', 'v', 'e', 's', 'b', 'a', 'y', 'l', 'e', 'a', 'v', 'e', 's', 's', 'a', 'l', 't', 'a', 'n', 'd', 'p', 'e', 'p', 'p', 'e', 'r', 't', 'o', 't', 'a', 's', 't', 'e']"
Beef Tapa,"beef, fish sauce (patis), sugar, salt, garlic, ground pepper","['b', 'e', 'e', 'f', 'f', 'i', 's', 'h', 's', 'a', 'u', 'c', 'e', 'p', 'a', 't', 'i', 's', 's', 'u', 'g', 'a', 'r', 's', 'a', 'l', 't', 'g', 'a', 'r', 'l', 'i', 'c', 'g', 'r', 'o', 'u', 'n', 'd', 'p', 'e', 'p', 'p', 'e', 'r']"
Crispy Pata,"Pork Pata, soda (7Up or sprite), salt, patis (fish sauce), baking soda, monosodium glutamate (MSG), flour","['p', 'o', 'r', 'k', 'p', 'a', 't', 'a', 's', 'o', 'd', 'a', 'u', 'p', 'o', 'r', 's', 'p', 'r', 'i', 't', 'e', 's', 'a', 'l', 't', 'p', 'a', 't', 'i', 's', 'f', 'i', 's', 'h', 's', 'a', 'u', 'c', 'e', 'b', 'a', 'k', 'i', 'n', 'g', 's', 'o', 'd', 'a', 'm', 'o', 'n', 'o', 's', 'o', 'd', 'i', 'u', 'm', 'g', 'l', 'u', 't', 'a', 'm', 'a', 't', 'e', 'm', 's', 'g', 'f', 'l', 'o', 'u', 'r']"
Guisado,"beef, soy sauce, garlic, onion, salt, pepper, beef broth, tomato","['b', 'e', 'e', 'f', 's', 'o', 'y', 's', 'a', 'u', 'c', 'e', 'g', 'a', 'r', 'l', 'i', 'c', 'o', 'n', 'i', 'o', 'n', 's', 'a', 'l', 't', 'p', 'e', 'p', 'p', 'e', 'r', 'b', 'e', 'e', 'f', 'b', 'r', 'o', 't', 'h', 't', 'o', 'm', 'a', 't', 'o']"
Kaldereta,"pork, garlic onion, salt, pepper, bay leaves, chili carrot, potato, tomato, tomato sauce, bell pepper, pork broth","['p', 'o', 'r', 'k', 'g', 'a', 'r', 'l', 'i', 'c', 'o', 'n', 'i', 'o', 'n', 's', 'a', 'l', 't', 'p', 'e', 'p', 'p', 'e', 'r', 'b', 'a', 'y', 'l', 'e', 'a', 'v', 'e', 's', 'c', 'h', 'i', 'l', 'i', 'c', 'a', 'r', 'r', 'o', 't', 'p', 'o', 't', 'a', 't', 'o', 't', 'o', 'm', 'a', 't', 'o', 't', 'o', 'm', 'a', 't', 'o', 's', 'a', 'u', 'c', 'e', 'b', 'e', 'l', 'l', 'p', 'e', 'p', 'p', 'e', 'r', 'p', 'o', 'r', 'k', 'b', 'r', 'o', 't', 'h']"
Kare Kare,"chicken, beef, garlic, onion, salt, sitaw, eggplant, pechay, peanut butter, shrimp paste, annatto seeds, cabbage","['c', 'h', 'i', 'c', 'k', 'e', 'n', 'b', 'e', 'e', 'f', 'g', 'a', 'r', 'l', 'i', 'c', 'o', 'n', 'i', 'o', 'n', 's', 'a', 'l', 't', 's', 'i', 't', 'a', 'w', 'e', 'g', 'g', 'p', 'l', 'a', 'n', 't', 'p', 'e', 'c', 'h', 'a', 'y', 'p', 'e', 'a', 'n', 'u', 't', 'b', 'u', 't', 't', 'e', 'r', 's', 'h', 'r', 'i', 'm', 'p', 'p', 'a', 's', 't', 'e', 'a', 'n', 'n', 'a', 't', 't', 'o', 's', 'e', 'e', 'd', 's', 'c', 'a', 'b', 'b', 'a', 'g', 'e']"
Kinilaw,"vinegar, onion, salt, ginger, chili, calamansi, dilis","['v', 'i', 'n', 'e', 'g', 'a', 'r', 'o', 'n', 'i', 'o', 'n', 's', 'a', 'l', 't', 'g', 'i', 'n', 'g', 'e', 'r', 'c', 'h', 'i', 'l', 'i', 'c', 'a', 'l', 'a', 'm', 'a', 'n', 's', 'i', 'd', 'i', 'l', 'i', 's']"
Longganisa,"pork, sugar, paprika, salt, pepper, garlic","['p', 'o', 'r', 'k', 's', 'u', 'g', 'a', 'r', 'p', 'a', 'p', 'r', 'i', 'k', 'a', 's', 'a', 'l', 't', 'p', 'e', 'p', 'p', 'e', 'r', 'g', 'a', 'r', 'l', 'i', 'c']"
Mechado,"beef, tomato sauce, potato, bell pepper, bay leaves, tomato, onion, garlic, soy sauce, beef broth, lemon, salt, pepper","['b', 'e', 'e', 'f', 't', 'o', 'm', 'a', 't', 'o', 's', 'a', 'u', 'c', 'e', 'p', 'o', 't', 'a', 't', 'o', 'b', 'e', 'l', 'l', 'p', 'e', 'p', 'p', 'e', 'r', 'b', 'a', 'y', 'l', 'e', 'a', 'v', 'e', 's', 't', 'o', 'm', 'a', 't', 'o', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 's', 'o', 'y', 's', 'a', 'u', 'c', 'e', 'b', 'e', 'e', 'f', 'b', 'r', 'o', 't', 'h', 'l', 'e', 'm', 'o', 'n', 's', 'a', 'l', 't', 'p', 'e', 'p', 'p', 'e', 'r']"
Menudo,"pork, pork liver, hotdog, potato, carrot, bell pepper, green peas, onion, garlic, tomato sauce, soy sauce, laurel leaves, cheese, sugar, salt, pepper","['p', 'o', 'r', 'k', 'p', 'o', 'r', 'k', 'l', 'i', 'v', 'e', 'r', 'h', 'o', 't', 'd', 'o', 'g', 'p', 'o', 't', 'a', 't', 'o', 'c', 'a', 'r', 'r', 'o', 't', 'b', 'e', 'l', 'l', 'p', 'e', 'p', 'p', 'e', 'r', 'g', 'r', 'e', 'e', 'n', 'p', 'e', 'a', 's', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 't', 'o', 'm', 'a', 't', 'o', 's', 'a', 'u', 'c', 'e', 's', 'o', 'y', 's', 'a', 'u', 'c', 'e', 'l', 'a', 'u', 'r', 'e', 'l', 'l', 'e', 'a', 'v', 'e', 's', 'c', 'h', 'e', 'e', 's', 'e', 's', 'u', 'g', 'a', 'r', 's', 'a', 'l', 't', 'p', 'e', 'p', 'p', 'e', 'r']"
